02-2-00192,1-2015,D6GNA,0086
02-2-00192,1-2015,D6GNA,0108
02-2-00192,1-2015,D6GNA,0134
02-2-00192,1-2015,D6GNA,0139
02-2-00192,1-2015,D6GNA,0571
02-2-00205,1-2015,D8ANA,0070
03-1-00217,1-2015,D9ANA,0071
03-1-00217,1-2015,D9ANA,0102
03-1-00217,1-2015,D9ANA,0129
03-1-00217,1-2015,D9ANA,0275
03-1-00217,1-2015,D9ANA,0394
03-1-00217,1-2015,D9ANA,0576
03-1-00217,1-2015,D9ANA,0627
03-1-00217,1-2015,D9ANA,0628
03-1-00217,1-2015,D9ANA,527
03-1-00268,1-2015,D10ANA,0074
03-1-00268,1-2015,D10ANA,0142
03-1-00268,1-2015,D10ANA,0579
03-1-00268,1-2015,D10ANA,0658
03-1-00268,1-2015,D10ANA,0659
03-1-00268,1-2015,D10ANA,529
03-1-00268,1-2015,D10ANA,530
03-1-00268,1-2015,D10ANA,531
04-1-00440,1-2015,D9ANA,0394
04-1-00575,1-2015,D8ANA,0070
04-1-00575,1-2015,D8ANA,0136
04-1-00575,1-2015,D8ANA,0141
04-1-00575,1-2015,D8ANA,0274
04-1-00575,1-2015,D8ANA,0393
04-1-00575,1-2015,D8ANA,525
04-1-00575,1-2015,D8ANA,526
04-2-00595,1-2015,D3BNA,0021
04-2-00595,1-2015,D3BNA,0121
04-2-00595,1-2015,D3BNA,0148
04-2-00595,1-2015,D3BNA,0222
04-2-00595,1-2015,D3BNA,0523
04-2-00595,1-2015,D3BNA,0524
04-2-00595,1-2015,D3BNA,0549
05-1-00704,1-2015,D9ANA,0394
05-1-00714,1-2015,D7BNA,0087
05-1-00714,1-2015,D7BNA,0109
05-1-00714,1-2015,D7BNA,0135
05-1-00714,1-2015,D7BNA,0140
05-1-00714,1-2015,D7BNA,535
07-1-01523,1-2015,D3ANA,0148
07-1-01523,1-2015,D1GNA,0438
07-1-01523,1-2015,D10ANA,0658
07-1-01523,1-2015,D10ANA,0659
07-1-01523,1-2015,D9ANA,527
07-1-01523,1-2015,D10ANA,530
07-1-01523,1-2015,D10ANA,531
07-1-01618,1-2015,D4ANA,0083
07-1-01618,1-2015,D4ANA,0095
07-1-01618,1-2015,D4ANA,0123
07-1-01618,1-2015,D4ANA,0389
07-1-01618,1-2015,D4ANA,522
07-1-01643,1-2015,D5BDA,0100
07-1-01645,1-2015,D1ANA,0437
07-1-01645,1-2015,D1ANA,0438
07-1-01645,1-2015,D3ANA,0549
07-1-01645,1-2015,D2ANA,0557
07-1-01645,1-2015,D5GNA,523
07-1-01828,1-2015,D3DNA,0121
07-1-01858,1-2015,D7ANA,0087
07-1-01858,1-2015,D7ANA,0109
07-1-01858,1-2015,D7ANA,0135
07-1-01858,1-2015,D7ANA,0140
07-1-01858,1-2015,D7ANA,535
07-1-01921,1-2015,D2ANA,0043
07-1-01921,1-2015,D4GNA,0083
07-1-01921,1-2015,D4GNA,0095
07-1-01921,1-2015,D3BNA,0523
07-1-01921,1-2015,D3BNA,0524
07-1-01953,1-2015,D10ANA,0074
07-1-01953,1-2015,D10ANA,0142
07-1-01953,1-2015,D10ANA,0579
07-1-01953,1-2015,D10ANA,0658
07-1-01953,1-2015,D10ANA,0659
07-1-01953,1-2015,D10ANA,529
07-1-01953,1-2015,D10ANA,530
07-1-01953,1-2015,D10ANA,531
07-1-02016,1-2015,D6ANA,0086
07-1-02016,1-2015,D6ANA,0134
07-1-02016,1-2015,D6ANA,0139
07-1-02016,1-2015,D6ANA,0571
07-2-02053,1-2015,D5ANA,0084
07-2-02053,1-2015,D5ANA,0125
07-2-02053,1-2015,D5ANA,0133
07-2-02053,1-2015,D5ANA,0185
